#: table_doi: 10.17182/hepdata.62783.v1/t61
#: name: Table 61
#: description: .

#: data_file: Table61.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: ABS(ETARAP),< 2.5
#: CENTRALITY [pct],5.0-10.0
#: PT [GEV],> 0.5
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
V2,PROB(V2),stat +,stat -,sys +,sys -
0.002,0.6866,0.0108,-0.0108,0.0796,-0.0796
0.006,2.0724,0.0206,-0.0206,0.2238,-0.2238
0.01,3.5701,0.0261,-0.0261,0.357,-0.357
0.014,5.1671,0.0291,-0.0291,0.372,-0.372
0.018,6.7643,0.0273,-0.0273,0.2976,-0.2976
0.022,8.6362,0.0303,-0.0303,0.2677,-0.2677
0.0259,10.394,0.0374,-0.0374,0.343,-0.343
0.0299,12.1427,0.0427,-0.0427,0.425,-0.425
0.0339,13.8149,0.0482,-0.0482,0.5112,-0.5112
0.0379,15.2435,0.0495,-0.0495,0.5945,-0.5945
0.0419,16.1024,0.0467,-0.0467,0.6119,-0.6119
0.0459,16.9161,0.0442,-0.0442,0.5751,-0.5751
0.0499,16.9775,0.0451,-0.0451,0.5093,-0.5093
0.0539,16.8263,0.0493,-0.0493,0.4375,-0.4375
0.0579,16.0999,0.0506,-0.0506,0.3542,-0.3542
0.0619,15.1286,0.0483,-0.0483,0.3328,-0.3328
0.0659,13.4921,0.0445,-0.0445,0.3508,-0.3508
0.0698,12.0127,0.0452,-0.0452,0.3604,-0.3604
0.0738,10.3804,0.042,-0.042,0.3529,-0.3529
0.0778,8.6831,0.041,-0.041,0.33,-0.33
0.0818,7.1385,0.038,-0.038,0.2927,-0.2927
0.0858,5.7722,0.036,-0.036,0.2482,-0.2482
0.0898,4.4665,0.0347,-0.0347,0.201,-0.201
0.0938,3.492,0.0349,-0.0349,0.1641,-0.1641
0.0978,2.6169,0.0304,-0.0304,0.1282,-0.1282
0.1018,1.9258,0.028,-0.028,0.1155,-0.1059
0.1058,1.3369,0.0252,-0.0252,0.1069,-0.0869
0.1098,0.9097,0.0242,-0.0242,0.091,-0.0682
0.1137,0.6624,0.0236,-0.0236,0.0795,-0.0563
0.1177,0.4246,0.02,-0.02,0.0595,-0.0403
0.1217,0.2669,0.0154,-0.0154,0.048,-0.0356
0.1257,0.1752,0.0154,-0.0154,0.0421,-0.035
0.1297,0.0925,0.0128,-0.0128,0.0278,-0.0247
0.1337,0.0385,0.0071,-0.0071,0.0139,-0.0128
0.1377,0.0289,0.0088,-0.0088,0.0121,-0.0116

