#: table_doi: 10.17182/hepdata.62783.v1/t70
#: name: Table 70
#: description: .

#: data_file: Table70.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: ABS(ETARAP),< 2.5
#: CENTRALITY [pct],10.0-15.0
#: PT [GEV],> 0.5
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
V2,PROB(V2),stat +,stat -,sys +,sys -
0.002,0.2113,0.0067,-0.0067,0.0389,-0.0389
0.006,0.6434,0.0119,-0.0119,0.0978,-0.0978
0.01,1.1126,0.0172,-0.0172,0.1335,-0.1335
0.014,1.6789,0.0186,-0.0186,0.1813,-0.1813
0.0179,2.2635,0.02,-0.02,0.2173,-0.2173
0.0219,3.0849,0.021,-0.021,0.253,-0.253
0.0259,4.0194,0.024,-0.024,0.2653,-0.2653
0.0299,5.008,0.0293,-0.0293,0.2504,-0.2504
0.0339,6.081,0.0326,-0.0326,0.2797,-0.2797
0.0379,7.3429,0.0378,-0.0378,0.3084,-0.3084
0.0419,8.5582,0.0399,-0.0399,0.3252,-0.3252
0.0458,9.8563,0.0388,-0.0388,0.3351,-0.3351
0.0498,11.1066,0.0389,-0.0389,0.3332,-0.3332
0.0538,12.3879,0.041,-0.041,0.3716,-0.3716
0.0578,13.3923,0.0426,-0.0426,0.4018,-0.4018
0.0618,14.1885,0.0456,-0.0456,0.4257,-0.4257
0.0658,14.5929,0.0477,-0.0477,0.4378,-0.4378
0.0698,14.8679,0.0474,-0.0474,0.446,-0.446
0.0737,14.53,0.0466,-0.0466,0.4359,-0.4359
0.0777,14.1843,0.0445,-0.0445,0.4255,-0.4255
0.0817,13.3434,0.044,-0.044,0.4003,-0.4003
0.0857,12.4282,0.0439,-0.0439,0.3728,-0.3728
0.0897,11.3792,0.0433,-0.0433,0.3414,-0.3414
0.0937,10.1225,0.0426,-0.0426,0.3037,-0.3037
0.0977,8.9193,0.0412,-0.0412,0.2676,-0.2676
0.1016,7.6535,0.0394,-0.0394,0.2449,-0.2449
0.1056,6.3448,0.037,-0.037,0.2284,-0.2284
0.1096,5.3015,0.0355,-0.0355,0.2121,-0.2121
0.1136,4.1474,0.0324,-0.0324,0.1825,-0.1825
0.1176,3.2626,0.0314,-0.0314,0.1566,-0.1566
0.1216,2.4332,0.0281,-0.0281,0.1265,-0.1265
0.1256,1.8025,0.027,-0.027,0.1009,-0.1009
0.1295,1.3455,0.0251,-0.0251,0.0807,-0.0807
0.1335,1.0436,0.023,-0.023,0.0918,-0.0918
0.1375,0.6876,0.0202,-0.0202,0.0798,-0.0798
0.1415,0.4934,0.0196,-0.0196,0.0711,-0.0711
0.1455,0.3292,0.0191,-0.0191,0.0566,-0.0566
0.1495,0.2195,0.0147,-0.0147,0.0439,-0.0439
0.1535,0.131,0.0132,-0.0132,0.0297,-0.028
0.1574,0.0818,0.0128,-0.0128,0.0207,-0.0185

